Tournament: random
Tatamis: 6
Days: 1
Finalblock: YES 
Breaktype: Individual
Startime: 32400
Adults Show Female 11 1
Adults Show Mixed 16 1
Adults Show Male 10 1
Adults Duo Female 12 1
Adults Duo Mixed 7 1
Adults Duo Male 0 1
Adults Jiu-Jitsu Male 56kg 20 1
Adults Jiu-Jitsu Male 62kg 14 1
Adults Jiu-Jitsu Male 69kg 12 1
Adults Jiu-Jitsu Male 77kg 11 1
Adults Jiu-Jitsu Male 85kg 3 1
Adults Jiu-Jitsu Male 94kg 15 1
Adults Jiu-Jitsu Male 95kg 9 1
Adults Jiu-Jitsu Female 45kg 3 1
Adults Jiu-Jitsu Female 48kg 2 1
Adults Jiu-Jitsu Female 52kg 8 1
Adults Jiu-Jitsu Female 57kg 9 1
Adults Jiu-Jitsu Female 63kg 4 1
Adults Jiu-Jitsu Female 70kg 6 1
Adults Jiu-Jitsu Female 71kg 7 1
Adults Fighting Male 56kg 4 1
Adults Fighting Male 62kg 1 1
Adults Fighting Male 69kg 8 1
Adults Fighting Male 77kg 7 1
Adults Fighting Male 85kg 6 1
Adults Fighting Male 94kg 3 1
Adults Fighting Male 95kg 10 1
Adults Fighting Female 45kg 9 1
Adults Fighting Female 48kg 2 1
Adults Fighting Female 52kg 10 1
Adults Fighting Female 57kg 10 1
Adults Fighting Female 63kg 7 1
Adults Fighting Female 70kg 3 1
Adults Fighting Female 71kg 14 1
